"latnum","longnum","start","end","severity","cause","flood"
23.4913,91.11616667,NA,NA,NA,NA,"All Households"
23.05656667,91.30531667,NA,NA,NA,NA,"All Households"
23.05551667,91.30536667,NA,NA,NA,NA,"All Households"
23.05653333,91.30485,NA,NA,NA,NA,"All Households"
23.0553,91.3053,NA,NA,NA,NA,"All Households"
23.05611667,91.30448333,NA,NA,NA,NA,"All Households"
23.05568333,91.30446667,NA,NA,NA,NA,"All Households"
23.53001667,90.84106667,NA,NA,NA,NA,"All Households"
23.57928333,90.84206667,NA,NA,NA,NA,"All Households"
23.57856667,90.8427,NA,NA,NA,NA,"All Households"
23.58076667,90.83571667,NA,NA,NA,NA,"All Households"
23.58261667,90.83836667,NA,NA,NA,NA,"All Households"
23.58168333,90.83956667,NA,NA,NA,NA,"All Households"
23.5815,90.83978333,NA,NA,NA,NA,"All Households"
23.66451667,91.01505,NA,NA,NA,NA,"All Households"
23.66231667,91.01603333,NA,NA,NA,NA,"All Households"
23.663,91.01545,NA,NA,NA,NA,"All Households"
23.66308333,91.013,NA,NA,NA,NA,"All Households"
23.66696667,91.01678333,NA,NA,NA,NA,"All Households"
23.66666667,91.0167,NA,NA,NA,NA,"All Households"
23.66716667,91.01675,NA,NA,NA,NA,"All Households"
23.66171667,91.01301667,NA,NA,NA,NA,"All Households"
23.64415,90.82363333,NA,NA,NA,NA,"All Households"
23.64328333,90.82436667,NA,NA,NA,NA,"All Households"
23.64331667,90.82365,NA,NA,NA,NA,"All Households"
23.64235,90.82393333,NA,NA,NA,NA,"All Households"
23.64195,90.82248333,NA,NA,NA,NA,"All Households"
23.64401667,90.82428333,NA,NA,NA,NA,"All Households"
23.64453333,90.8246,NA,NA,NA,NA,"All Households"
23.6417,90.82263333,NA,NA,NA,NA,"All Households"
23.64173333,90.82315,NA,NA,NA,NA,"All Households"
23.64161667,90.8239,NA,NA,NA,NA,"All Households"
23.44653333,91.10501667,NA,NA,NA,NA,"All Households"
23.44436667,91.10273333,NA,NA,NA,NA,"All Households"
23.44713333,91.10278333,NA,NA,NA,NA,"All Households"
23.4529,91.13688333,NA,NA,NA,NA,"All Households"
23.44835,91.10186667,NA,NA,NA,NA,"All Households"
23.44581667,91.10388333,NA,NA,NA,NA,"All Households"
23.4405,91.10015,NA,NA,NA,NA,"All Households"
23.442,91.10028333,NA,NA,NA,NA,"All Households"
23.44543333,91.10286667,NA,NA,NA,NA,"All Households"
23.44803333,91.10201667,NA,NA,NA,NA,"All Households"
23.44688333,91.10246667,NA,NA,NA,NA,"All Households"
